Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,Customer City,Customer Country,Customer Zipcode,Latitude,Longitude,Market,Order City,Order Country,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,order_date,order_time,shipping_date,shipping_time,processing_time,shipment_status,order city latitude,order city longitude,distance,multiplier,approx_time,transit_time,effective_delivery_time
5,4,Late delivery,1,Caguas,Puerto Rico,725.0,18.27945137,-66.0370636,Pacific Asia,Bikaner,India,South Asia,Rajastán,PENDING,Smart watch ,327.75,Standard Class,2018-01-13,12:27:00,2018-01-18,12:27:00,5,Delayed,28.0181,73.3169,13260.450463105964,1.0,13260.4505,4,9
4,4,Shipping on time,0,San Jose,EE. UU.,95125.0,37.29223251,-121.881279,Pacific Asia,Bikaner,India,South Asia,Rajastán,CLOSED,Smart watch ,327.75,Standard Class,2018-01-13,12:06:00,2018-01-17,12:06:00,4,Delayed,28.0181,73.3169,12581.705582535942,1.0,12581.7056,3,7
2,1,Late delivery,1,Caguas,Puerto Rico,725.0,18.27843857,-66.03705597,Pacific Asia,Sangli,India,South Asia,Maharashtra,COMPLETE,Smart watch ,327.75,First Class,2018-01-13,08:15:00,2018-01-15,08:15:00,2,On time,16.853,74.583,14199.412971702612,0.5,7099.7065,2,4
2,1,Late delivery,1,Peabody,EE. UU.,1960.0,42.52627564,-70.92703247,Pacific Asia,Sangli,India,South Asia,Maharashtra,PROCESSING,Smart watch ,327.75,First Class,2018-01-13,07:54:00,2018-01-15,07:54:00,2,On time,16.853,74.583,12528.008621160385,0.5,6264.0043,2,4
2,1,Late delivery,1,Caguas,Puerto Rico,725.0,18.28404999,-66.03705597,Pacific Asia,Sangli,India,South Asia,Maharashtra,COMPLETE,Smart watch ,327.75,First Class,2018-01-13,07:33:00,2018-01-15,07:33:00,2,On time,16.853,74.583,14199.012905448815,0.5,7099.5065,2,4
2,1,Late delivery,1,Paramount,EE. UU.,90723.0,33.89869309,-118.1745605,Pacific Asia,Jabalpur,India,South Asia,Madhya Pradesh,CLOSED,Smart watch ,327.75,First Class,2018-01-13,06:51:00,2018-01-15,06:51:00,2,On time,23.1667,79.9333,13386.790639515417,0.5,6693.3953,2,4
2,1,Late delivery,1,Caguas,Puerto Rico,725.0,18.233778,-66.0370636,Pacific Asia,Jabalpur,India,South Asia,Madhya Pradesh,COMPLETE,Smart watch ,327.75,First Class,2018-01-13,06:30:00,2018-01-15,06:30:00,2,On time,23.1667,79.9333,14111.816436131454,0.5,7055.9082,2,4
0,0,Shipping on time,0,Mount Prospect,EE. UU.,60056.0,42.04830551,-87.96134186,Pacific Asia,Jabalpur,India,South Asia,Madhya Pradesh,PENDING_PAYMENT,Smart watch ,327.75,Same Day,2018-01-13,06:09:00,2018-01-13,18:09:00,0,On time,23.1667,79.9333,12657.382589551782,0.0,0.0,1,1
0,0,Shipping on time,0,Long Beach,EE. UU.,90813.0,33.78245163,-118.1922455,Pacific Asia,Jabalpur,India,South Asia,Madhya Pradesh,PROCESSING,Smart watch ,327.75,Same Day,2018-01-13,05:48:00,2018-01-13,17:48:00,0,On time,23.1667,79.9333,13398.443196658744,0.0,0.0,1,1
5,4,Late delivery,1,Caguas,Puerto Rico,725.0,18.28337669,-66.03705597,Pacific Asia,Jabalpur,India,South Asia,Madhya Pradesh,PENDING,Smart watch ,327.75,Standard Class,2018-01-13,05:27:00,2018-01-18,05:27:00,5,Delayed,23.1667,79.9333,14107.593476452628,1.0,14107.5935,4,9
5,4,Late delivery,1,Wheaton,EE. UU.,60187.0,41.86544037,-88.10990143,Pacific Asia,Delhi,India,South Asia,Delhi,COMPLETE,Smart watch ,327.75,Standard Class,2018-01-13,01:57:00,2018-01-18,01:57:00,5,Delayed,28.61,77.23,12035.258556453407,1.0,12035.2586,3,8
4,4,Shipping on time,0,Caguas,Puerto Rico,725.0,18.28713608,-66.03705597,Pacific Asia,Delhi,India,South Asia,Delhi,PENDING_PAYMENT,Smart watch ,327.75,Standard Class,2018-01-13,01:36:00,2018-01-17,01:36:00,4,Delayed,28.61,77.23,13475.070737614062,1.0,13475.0707,4,8
2,1,Late delivery,1,Carlisle,EE. UU.,17013.0,40.03171921,-76.87709808,Pacific Asia,Hubli,India,South Asia,Karnataka,CLOSED,Smart watch ,327.75,First Class,2018-01-13,00:12:00,2018-01-15,00:12:00,2,On time,15.3502,75.1376,13210.032482176322,0.5,6605.0162,2,4
2,1,Late delivery,1,Carlisle,EE. UU.,17013.0,40.03171921,-76.87709808,Pacific Asia,Hubli,India,South Asia,Karnataka,CLOSED,Smart watch ,327.75,First Class,2018-01-13,00:12:00,2018-01-15,00:12:00,2,On time,15.355,75.1362,13209.484122590226,0.5,6604.7421,2,4
6,4,Late delivery,1,Caguas,Puerto Rico,725.0,18.26469612,-66.03705597,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING,Smart watch ,327.75,Standard Class,2018-01-12,21:02:00,2018-01-18,21:02:00,6,Delayed,12.9789,77.5917,14725.65789892938,1.0,14725.6579,4,10
5,2,Late delivery,1,Rochester,EE. UU.,14609.0,43.18824005,-77.56706238,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING,Smart watch ,327.75,Second Class,2018-01-12,20:41:00,2018-01-17,20:41:00,5,Delayed,12.9789,77.5917,13277.633808741124,0.8,10622.107,3,8
5,2,Late delivery,1,Bayamon,Puerto Rico,957.0,18.38011932,-66.18312836,Pacific Asia,Mirzapur,India,South Asia,Uttar Pradesh,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class,2016-02-24,13:57:00,2016-02-29,13:57:00,5,Delayed,25.146,82.569,14110.7886281826,0.8,11288.6309,3,8
5,2,Late delivery,1,Bayamon,Puerto Rico,957.0,18.38011932,-66.18312836,Pacific Asia,Mirzapur,India,South Asia,Uttar Pradesh,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class,2016-02-24,13:57:00,2016-02-29,13:57:00,5,Delayed,26.1616,87.2349,14290.090336353536,0.8,11432.0723,3,8
6,2,Late delivery,1,Caguas,Puerto Rico,725.0,18.25571251,-66.37050629,Pacific Asia,Raipur,India,South Asia,Rajastán,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,2015-10-25,06:24:00,2015-10-31,06:24:00,6,Delayed,21.2444,81.6306,14408.473019566438,0.8,11526.7784,3,9
6,2,Late delivery,1,Caguas,Puerto Rico,725.0,18.25571251,-66.37050629,Pacific Asia,Raipur,India,South Asia,Rajastán,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,2015-10-25,06:24:00,2015-10-31,06:24:00,6,Delayed,26.05,74.02,13489.5667749868,0.8,10791.6534,3,9
6,2,Late delivery,1,Caguas,Puerto Rico,725.0,18.25571251,-66.37050629,Pacific Asia,Raipur,India,South Asia,Rajastán,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,2015-10-25,06:24:00,2015-10-31,06:24:00,6,Delayed,25.4226,86.8498,14359.862325200404,0.8,11487.8899,3,9
2,4,Advance shipping,0,Bend,EE. UU.,97701.0,44.07210541,-12.13232708,Pacific Asia,Kanpur,India,South Asia,Uttar Pradesh,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,2016-02-14,05:54:00,2016-02-16,05:54:00,2,On time,26.4499,80.3319,8185.171688471553,1.0,8185.1717,3,5
5,4,Late delivery,1,Del Rio,EE. UU.,78840.0,29.77310181,-100.6121979,Pacific Asia,Ulhasnagar,India,South Asia,Maharashtra,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,2015-11-18,09:53:00,2015-11-23,09:53:00,5,Delayed,19.22,73.15,14526.44817132256,1.0,14526.4482,4,9
4,4,Shipping on time,0,San Diego,EE. UU.,92105.0,32.74953461,-117.1046524,Pacific Asia,Ajmer,India,South Asia,Rajastán,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,2015-12-18,05:59:00,2015-12-22,05:59:00,4,Delayed,26.4499,74.6399,13316.109953623987,1.0,13316.11,4,8
5,4,Late delivery,1,Placentia,EE. UU.,92870.0,33.99459839,-117.9534302,Pacific Asia,Vadodara,India,South Asia,Guyarat,COMPLETE,Summer dresses,215.8200073,Standard Class,2017-12-13,20:44:00,2017-12-18,20:44:00,5,Delayed,22.3,73.2,13645.089587725686,1.0,13645.0896,4,9
3,4,Advance shipping,0,Caguas,Puerto Rico,725.0,18.29136658,-66.03705597,Pacific Asia,Bhilai,India,South Asia,Chhattisgarh,PROCESSING,Smart watch ,327.75,Standard Class,2018-01-12,19:59:00,2018-01-15,19:59:00,3,On time,21.21,81.38,14368.586588056676,1.0,14368.5866,4,7
5,4,Late delivery,1,Honolulu,EE. UU.,96817.0,21.32156754,-157.8721771,Pacific Asia,Ujjain,India,South Asia,Madhya Pradesh,PROCESSING,Smart watch ,327.75,Standard Class,2018-01-12,15:26:00,2018-01-17,15:26:00,5,Delayed,23.17,75.79,12383.86919946002,1.0,12383.8692,3,8
